uuid,HR
4a122afe-6e52-4ed0-840d-66155da95ba1,72.95745898400487
0848f722-52ec-420c-adb1-a1e90a2e2709,63.0727198038336
7814286a-f939-45a7-8620-82b339a7ad4b,83.20815201438802
de843d67-0ed3-4dfe-af91-78923dc31810,80.89304739463164
ba117ec1-3de8-4da3-a315-4c7716589439,76.30449649351631
de2f6de3-9a92-4a4b-85fe-c9a6c0446c98,76.86257517076702
e820756d-055c-410f-a4b8-5189c994b363,77.80088364558269
513ace1c-9559-47ad-b347-e24768e1a362,66.30281688042447
e180b700-7555-4570-be5d-b27811f563e7,99.91969389553898
5f6e062a-73d5-4d5d-977e-7b907589e8a2,59.12606248531769
9a5f49a4-46d1-4cfa-92fc-e835c52a071e,62.247874841889136
b7492c89-fe8b-41f0-aff2-8743fc5abb1e,82.2320402899722
d85e037e-b819-4ad6-aa87-0291af9d0572,67.35822996740488
de0c49b0-da4b-4ade-8766-2ab15a1f7fca,79.62723857952555
36df07f7-0f13-42f1-be7d-b3c1a32daf4e,74.5959692392221
635f36cf-86bd-405c-8aac-1902dc80c7bc,64.79901271350731
3dde63d4-9758-4e5e-9696-fb7bc6e16c6e,66.99073957081904
a29cb57a-d7f4-4ff4-b221-eba511af25e6,104.22108570339722
03631e66-4ab0-4943-a9fc-7b052d7ac08b,62.063882151382266
8dbaae55-136f-4996-aac8-ac0c611c0a02,74.52564030026286
0de4f5bb-86bf-4742-bafc-63b57b0a109b,77.46702298277141
1cf91d87-0240-4317-8ff3-28792803050b,68.74980215582853
85074265-1a41-45c3-a3de-cb006a274522,70.1018968980341
fe762210-7352-4c74-a020-71e78ed68638,71.7489299420103
42ce8165-faf0-46de-8a1d-3672764cb25a,74.8343304462584
c0f1f5b9-b81d-4ce1-a13c-979af6f63e0c,87.47975264174221
6129dcd7-c8d9-409f-8813-a6e92acccf1d,72.55910016242379
ba8dc3c6-5fae-4643-abf4-73b330847f13,82.26432865338147
9f971df6-21af-4d65-9069-186b0faf133d,63.536432031409404
52170c55-626a-4c3a-a1d2-b4851bac8261,82.48332355104648
81c491f2-f850-4539-ab8f-748c4216fe4f,67.5947329862477
81d29ca2-b540-4b5a-a4cd-1851c5bc842f,75.14805467716626
aa02a830-4f5a-41b7-b838-ea262dd1fa9d,84.39505926385064
10b361c7-841a-4ec5-afac-f7a64836e952,84.1807835489538
0890ebb5-6113-4d96-98c4-71619973db39,57.059331810348205
0dd4790e-a2c8-4b23-b121-e204ca6beef3,61.72568340699285
fd0272e4-657c-40ce-8214-6ab75ab5b374,65.66796287677506
0380f813-d27d-4d98-aa69-8f2da5fba1a6,72.90151070152511
a54bfc2c-e665-444a-8c6f-ba4b3719be39,89.42919859090145
11b3ddde-0ffc-4cfa-9fb8-dc9555e42187,64.32874081949359
2e6ad80e-d9ad-4de7-8e27-c4e124baeeee,64.94122162218476
29f479e5-d10c-403d-9361-adba77d12e64,75.32924458831718
2cb835e5-1271-4db2-932c-443a342c6cb9,76.43202407268224
ca23ddad-0f25-4569-8dd8-aa4a5be37608,73.58427096216404
39095dcc-959f-4e9b-a739-7b66967153ec,75.03872234053439
b4e25dd6-897b-4365-aed7-3137ed16429c,71.65775319144733
577973ed-271b-4c32-93e8-71181bf7a1a0,73.84690772828462
28740eae-26e9-4903-a4a1-dcd8c682441e,83.19359654119468
dd91f606-418d-4f85-ae72-6a62ef7d2f69,54.35104712078436
55510a5e-d8c6-44bc-a036-38c75f181735,93.01472060836278
383111f9-3feb-4a30-8d14-c0dfbc688b39,78.86237327860509
b242618c-e7b4-48bf-a30e-64c2c5fb4011,62.27999410669657
04a44235-9c09-4500-8d7e-e918abc23154,71.9542298152593
e75bb73b-34d2-4f14-8f5b-a07ff31eabf3,78.78642482068867
dbb5bc91-5f12-4dd2-8be0-7d456a10cfa8,59.709707521439775
6d3308b6-d230-4325-8582-d2de2293ff06,70.20616302517823
bd699fc6-7b9c-4434-bc59-1d2c59a431ad,71.70403067086615
1d2c68d7-f10b-4772-84b1-da5a48a1af99,76.9094470664766
a789b833-8ab9-4985-ac6c-42a98cd47689,63.4731884150901
cffc695d-e5a1-4de9-930b-0428f8c257af,86.56137728583434
c3f999b7-ee47-4640-b817-ffaef9f6fcfe,75.58730662691134
03e0b255-9919-4a46-9534-819f52aaa3db,73.25809563113567
1b2822a8-fc70-4c86-9493-ca0bc3a4fbc4,83.91058064858478
336d003c-7287-4048-9cdd-20c6db3b0e11,76.5007444105649
c5faf234-798d-4e03-9367-36c44524f788,70.54923481851404
e86dcd29-c007-45a6-99ee-23d980a611c4,86.87044896306394
4f810826-7304-4c12-a259-6c71e5e69731,76.46873668484655
c0747404-e7a3-4d35-b3c3-da1e5943d244,66.94012907330061
de11786e-98ab-4474-a525-b242c50133a6,62.32451611159253
0d5897a2-9a72-441b-951d-e3523402e00e,107.07665416162148
b4368702-6536-4eae-b57b-acb34140b285,81.77548665406728
5e3477d3-44b1-4c97-be62-2fdb35043e23,68.63354899249636
710697a6-a6cf-42ab-bc5a-d026a781426f,64.09338846963969
915ed958-5e7d-40d0-82de-abda9331c4aa,66.25002655723254
163d154e-d163-4bb3-84c4-2534c783b881,63.79279514712705
0c224042-54b4-4a4c-832e-54e901b332d5,63.29020063648892
86b763b1-b702-4b6f-93b3-7c8b74ae7c46,64.96412537046155
9504b0a9-8a05-48dd-b6b5-a84791b1a783,77.31902401458986
e8ad8e73-c4ef-4c89-ba50-3cc033e4351d,80.77129600164172
b571f95d-f527-42a0-a04d-9928bae3cdd7,68.61754738761636
407044ff-4ab1-419d-b93d-1d9dacb9a2e9,78.01204473954039
fd8a14eb-6682-4bdb-997b-81dc0a60d9cc,74.98013281717624
19d2a1bf-121f-43ba-b1d9-56f3aac17dd3,52.466012525492026
01f9a39f-44fa-4b6e-8314-70e36ec0261c,76.6524285815311
3176bc04-e4b9-4a49-aad3-42dea62d66a9,61.6242445525505
0892d3aa-0289-40fd-ada3-4fa1e48f3f40,85.74670270512006
1d40160a-6956-4393-931c-ad1967a4d806,62.728288133008434
e9e0a72c-d6ba-4e00-aa85-486b88121c64,91.90709074762624
00566cd7-f25c-474a-933c-316942fbec07,69.84459338511036
a16787a2-c2b3-4bd6-9d81-d25940063515,97.44071418757665
23100ec7-d228-4f76-9df5-5d2e3a96ccf6,82.27656044970841
69b9b351-9981-440a-8221-aa3b01acca7c,74.14217594490744
d9afcc51-d24d-42ac-bdd7-7776058c2bfd,57.064470041187185
e36bc8fd-417f-4311-8ebf-88b97e824195,76.88331087022198
179aad7d-c825-4c0a-b39a-be7f6197e696,67.35842688061268
89a115ad-09ae-4519-96f5-856c434f7f9f,75.76609442041719
57ca2a1d-1eb4-44b1-b422-8b370c8e0bf2,54.16005490606399
58af2e9c-7d3a-4e48-b499-3e959a483a71,83.49082936763665
ed0c49f1-390c-4dd7-8722-8da955402542,66.43849508936565
56a52b59-3fb6-4a49-9bbd-0945136a4bcf,80.4742529825773
55ecbcc1-b6e5-493b-9acc-746c79c5c01f,74.7481954072758
4d0d3f3c-ec8a-4dbb-b5a9-3775e781d853,84.04158265827476
45b52810-d977-4232-b917-d2aa50f086b7,60.19597820811564
701a8937-ee67-4452-847d-0ffd1c1ee937,86.26134212347266
b559b9f9-021b-4ff2-9290-0014d7e6171f,83.03118758159438
43b93ce2-cd14-4a1c-bac1-6a6d94ebf9bf,83.36769155385542
